Round		Edge-Cut		Swaps		Migrations
759		2120		680717		1519
760		2120		681485		1519
761		2120		682253		1519
762		2120		683021		1519
763		2120		683789		1519
764		2120		684557		1519
765		2120		685325		1519
766		2119		686092		1519
767		2119		686858		1519
768		2119		687624		1519
769		2119		688390		1519
770		2119		689156		1519
771		2119		689922		1519
772		2119		690688		1519
773		2119		691454		1519
774		2119		692220		1519
775		2119		692986		1519
776		2119		693752		1519
777		2119		694518		1519
778		2119		695284		1519
779		2119		696050		1519
780		2119		696816		1519
781		2119		697582		1519
782		2119		698348		1519
783		2119		699114		1519
784		2119		699880		1519
785		2119		700646		1519
786		2119		701412		1519
787		2119		702178		1519
788		2119		702944		1519
789		2119		703710		1519
790		2119		704476		1519
791		2119		705242		1519
792		2119		706008		1519
793		2119		706774		1519
794		2119		707540		1519
795		2119		708306		1519
796		2119		709072		1519
797		2119		709838		1519
798		2119		710604		1519
799		2119		711370		1519
800		2119		712136		1519
801		2119		712902		1519
802		2119		713668		1519
803		2119		714434		1519
804		2119		715200		1519
805		2119		715966		1519
806		2119		716732		1519
807		2118		717499		1519
808		2118		718263		1519
809		2118		719027		1519
810		2117		719790		1521
811		2117		720552		1521
812		2117		721314		1521
813		2117		722076		1521
814		2117		722838		1521
815		2117		723600		1521
816		2116		724361		1521
817		2116		725121		1521
818		2116		725881		1521
819		2116		726641		1521
820		2116		727401		1521
821		2116		728161		1521
822		2116		728921		1521
823		2116		729681		1521
824		2116		730441		1521
825		2116		731201		1521
826		2116		731961		1521
827		2116		732721		1521
828		2115		733482		1522
829		2115		734240		1522
830		2115		734998		1522
831		2115		735756		1522
832		2115		736514		1522
833		2115		737272		1522
834		2115		738030		1522
835		2115		738788		1522
836		2114		739547		1522
837		2114		740303		1522
838		2114		741059		1522
839		2114		741815		1522
840		2114		742571		1522
841		2114		743327		1522
842		2114		744083		1522
843		2114		744839		1522
844		2114		745595		1522
845		2114		746351		1522
846		2114		747107		1522
847		2113		747862		1524
848		2113		748616		1524
849		2113		749370		1524
850		2113		750124		1524
851		2113		750878		1524
852		2113		751632		1524
853		2113		752386		1524
854		2113		753140		1524
855		2113		753894		1524
856		2113		754648		1524
857		2113		755402		1524
858		2113		756156		1524
859		2112		756909		1523
860		2112		757661		1523
861		2112		758413		1523
862		2112		759165		1523
863		2112		759917		1523
864		2111		760670		1523
865		2111		761420		1523
866		2111		762170		1523
867		2111		762920		1523
868		2111		763670		1523
869		2111		764420		1523
870		2111		765170		1523
871		2111		765920		1523
872		2111		766670		1523
873		2111		767420		1523
874		2111		768170		1523
875		2111		768920		1523
876		2111		769670		1523
877		2111		770420		1523
878		2111		771170		1523
879		2111		771920		1523
880		2111		772670		1523
881		2111		773420		1523
882		2111		774170		1523
883		2111		774920		1523
884		2111		775670		1523
885		2111		776420		1523
886		2111		777170		1523
887		2111		777920		1523
888		2111		778670		1523
889		2111		779420		1523
890		2111		780170		1523
891		2111		780920		1523
892		2111		781670		1523
893		2111		782420		1523
894		2111		783170		1523
895		2111		783920		1523
896		2111		784670		1523
897		2111		785420		1523
898		2111		786170		1523
899		2111		786920		1523
900		2111		787670		1523
901		2111		788420		1523
902		2111		789170		1523
903		2111		789920		1523
904		2111		790670		1523
905		2111		791420		1523
906		2111		792170		1523
907		2111		792920		1523
908		2111		793670		1523
909		2111		794420		1523
910		2111		795170		1523
911		2111		795920		1523
912		2111		796670		1523
913		2111		797420		1523
914		2111		798170		1523
915		2111		798920		1523
916		2111		799670		1523
917		2111		800420		1523
918		2111		801170		1523
919		2111		801920		1523
920		2111		802670		1523
921		2111		803420		1523
922		2111		804170		1523
923		2110		804921		1522
924		2109		805670		1522
925		2109		806420		1522
926		2109		807170		1522
927		2108		807919		1523
928		2108		808667		1523
929		2107		809416		1522
930		2107		810162		1522
931		2107		810908		1522
932		2107		811654		1522
933		2107		812400		1522
934		2107		813146		1522
935		2107		813892		1522
936		2107		814638		1522
937		2107		815384		1522
938		2107		816130		1522
939		2107		816876		1522
940		2107		817622		1522
941		2107		818368		1522
942		2107		819114		1522
943		2107		819860		1522
944		2107		820606		1522
945		2106		821353		1523
946		2106		822097		1523
947		2105		822840		1523
948		2105		823582		1523
949		2105		824324		1523
950		2105		825066		1523
951		2105		825808		1523
952		2105		826550		1523
953		2105		827292		1523
954		2105		828034		1523
955		2105		828776		1523
956		2105		829518		1523
957		2105		830260		1523
958		2105		831002		1523
959		2105		831744		1523
960		2105		832486		1523
961		2105		833228		1523
962		2105		833970		1523
963		2105		834712		1523
964		2105		835454		1523
965		2104		836195		1524
966		2104		836935		1524
967		2104		837675		1524
968		2104		838415		1524
969		2104		839155		1524
970		2104		839895		1524
971		2104		840635		1524
972		2104		841375		1524
973		2104		842115		1524
974		2104		842855		1524
975		2104		843595		1524
976		2104		844335		1524
977		2104		845075		1524
978		2104		845815		1524
979		2104		846555		1524
980		2103		847294		1524
981		2103		848032		1524
982		2103		848770		1524
983		2103		849508		1524
984		2103		850246		1524
985		2103		850984		1524
986		2103		851722		1524
987		2103		852460		1524
988		2103		853198		1524
989		2103		853936		1524
990		2103		854674		1524
991		2103		855412		1524
992		2103		856150		1524
993		2103		856888		1524
994		2103		857626		1524
995		2103		858364		1524
996		2103		859102		1524
997		2103		859840		1524
998		2103		860578		1524
999		2103		861316		1524
